timestamp,file_status,status
12/09/2023 05:28:25.837098,source/functions/fnEmailListUsesFeature.sql,Success
12/09/2023 05:28:30.231319,source/functions/fnGetCustomerAttributeBannerContentBlockIdentifier.sql,"ERROR:  syntax error at end of input
LINE 62: $function$
         ^
"
12/09/2023 05:28:36.332022,source/functions/fnGetMailingLibraComponents.sql,"ERROR:  cannot change name of input parameter ""emaillistid""
HINT:  Use DROP FUNCTION fngetmailinglibracomponents(integer,integer) first.
"
12/09/2023 05:28:38.677372,source/functions/fnGetTargetLibraComponents.sql,"ERROR:  cannot change name of input parameter ""emaillistid""
HINT:  Use DROP FUNCTION fngettargetlibracomponents(integer,integer) first.
"
12/09/2023 05:28:40.867096,source/functions/fnIsTestActive.sql,"ERROR:  syntax error at or near ""WITH""
LINE 5:     WITH date_cte AS (
            ^
"
12/09/2023 05:28:42.557734,source/functions/fnLogToGraphite.sql,"ERROR:  cannot change name of input parameter ""_data""
HINT:  Use DROP FUNCTION fnlogtographite(text,text,integer) first.
"
12/09/2023 05:28:44.044725,source/functions/fnWeighSeedAndSalt.sql,Success
12/09/2023 05:28:46.523722,source/stored_procedures/spCancelCleanup.sql,"ERROR:  cannot change name of input parameter ""_emaillistid""
HINT:  Use DROP PROCEDURE spcancelcleanup(integer,integer,uuid) first.
"
12/09/2023 05:28:48.473227,source/stored_procedures/spCreateExternalUniqueID.sql,Success
12/09/2023 05:28:50.831206,source/stored_procedures/spLockAsyncListBuild.sql,"ERROR:  syntax error at or near "";""
LINE 13:             BEGIN;
                          ^
"
12/09/2023 05:28:56.117144,source/stored_procedures/spLogError.sql,"ERROR:  syntax error at or near ""_procedureid""
LINE 11:             TOP (1) _procedureid
                             ^
CONTEXT:  invalid type name ""TOP (1) _procedureid
        INTO _procedureid
        FROM
            public.tblplprocedures
        WHERE
            name ""
"
12/09/2023 05:28:58.089513,source/stored_procedures/spLogRunTimeFinishProcedure.sql,"ERROR:  ""_procedurename"" is not a known variable
LINE 10:            INTO _procedurename 
                         ^
"
12/09/2023 05:29:01.161147,source/stored_procedures/spLogRunTimeStartProcedure.sql,Success
12/09/2023 05:29:06.370484,source/stored_procedures/spSetCustomerAttributeStoreDynamicBannerData.sql,"ERROR:  syntax error at or near ""ELSE""
LINE 29:     ELSE
             ^
"
